,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
0,1,Inception,2010,13+,8.8,87%,1,0,0,0
1,2,The Matrix,1999,18+,8.7,87%,1,0,0,0
2,3,Avengers: Infinity War,2018,13+,8.5,84%,1,0,0,0
3,4,Back to the Future,1985,7+,8.5,96%,1,0,0,0
4,5,"The Good; the Bad and the Ugly",1966,18+,8.8,97%,1,0,1,0
5,6,Spider-Man: Into the Spider-Verse,2018,7+,8.4,97%,1,0,0,0
6,7,The Pianist,2002,18+,8.5,95%,1,0,1,0
7,8,Django Unchained,2012,18+,8.4,87%,1,0,0,0
8,9,Raiders of the Lost Ark,1981,7+,8.4,95%,1,0,0,0
9,10,Inglourious Basterds,2009,18+,8.3,89%,1,0,0,0
10,11,Taxi Driver,1976,18+,8.3,95%,1,0,0,0
11,12,3 Idiots,2009,13+,8.4,100%,1,0,1,0
12,13,Pan's Labyrinth,2006,18+,8.2,95%,1,0,0,0
13,14,Room,2015,18+,8.1,93%,1,0,0,0
14,15,Monty Python and the Holy Grail,1975,7+,8.2,97%,1,0,0,0
15,16,Once Upon a Time in the West,1968,13+,8.5,95%,1,0,1,0
16,17,Indiana Jones and the Last Crusade,1989,13+,8.2,88%,1,0,0,0
17,18,Groundhog Day,1993,7+,8,96%,1,0,0,0
18,19,The King's Speech,2010,18+,8,95%,1,0,0,0
19,20,Her,2013,18+,8,95%,1,0,0,0
20,21,There Will Be Blood,2007,18+,8.2,91%,1,0,0,0
21,22,The Social Network,2010,13+,7.7,96%,1,0,0,0
22,23,Dallas Buyers Club,2013,18+,8,93%,1,0,0,0
23,24,The Perks of Being a Wallflower,2012,13+,8,86%,1,0,0,0
24,25,Life of Brian,1979,18+,8.1,95%,1,0,0,0
25,26,Ex Machina,2015,18+,7.7,92%,1,0,0,0
26,27,Silver Linings Playbook,2012,18+,7.7,92%,1,0,0,0
27,28,District 9,2009,18+,7.9,90%,1,0,0,0
28,29,The Irishman,2019,18+,7.9,96%,1,0,0,0
29,30,Moon,2009,18+,7.9,90%,1,0,0,0
30,31,Marriage Story,2019,18+,8,95%,1,0,0,0
31,32,Drive,2011,18+,7.8,92%,1,0,1,0
32,33,Train to Busan,2016,,7.5,94%,1,0,1,0
33,34,Incredibles 2,2018,7+,7.6,94%,1,0,0,0
34,35,Dangal,2016,7+,8.4,88%,1,0,0,0
35,36,Klaus,2019,7+,8.2,94%,1,0,0,0
36,37,Minority Report,2002,13+,7.6,90%,1,0,0,0
37,38,Mystic River,2003,18+,7.9,88%,1,0,0,0
38,39,Like Stars on Earth,2007,7+,8.4,91%,1,0,0,0
39,40,Ferris Bueller's Day Off,1986,13+,7.8,80%,1,0,0,0
40,41,Despicable Me,2010,7+,7.6,81%,1,0,0,0
41,42,Hell or High Water,2016,18+,7.6,97%,1,0,0,0
42,43,Sin City,2005,18+,8,77%,1,0,0,0
43,44,Ip Man,2008,18+,8,85%,1,0,0,0
44,45,Indiana Jones and the Temple of Doom,1984,7+,7.6,85%,1,0,0,0
45,46,The Theory of Everything,2014,13+,7.7,79%,1,0,0,0
46,47,The Pursuit of Happyness,2006,13+,8,67%,1,0,0,0
47,48,Senna,2010,13+,8.5,93%,1,0,0,0
48,49,Scott Pilgrim vs. the World,2010,13+,7.5,81%,1,0,0,0
